ten,ma,ghi_chu
Thị trấn Liên Nghĩa,24958,Huyện Đức Trọng
Xã Hiệp An,24961,Huyện Đức Trọng
Xã Liên Hiệp,24964,Huyện Đức Trọng
Xã Hiệp Thạnh,24967,Huyện Đức Trọng
Xã Bình Thạnh,24970,Huyện Đức Trọng
Xã N'Thol Hạ,24973,Huyện Đức Trọng
Xã Tân Hội,24976,Huyện Đức Trọng
Xã Tân Thành,24979,Huyện Đức Trọng
Xã Phú Hội,24982,Huyện Đức Trọng
Xã Ninh Gia,24985,Huyện Đức Trọng
Xã Tà Năng,24988,Huyện Đức Trọng
Xã Đa Quyn,24989,Huyện Đức Trọng
Xã Tà Hine,24991,Huyện Đức Trọng
Xã Đà Loan,24994,Huyện Đức Trọng
Xã Ninh Loan,24997,Huyện Đức Trọng
Thị trấn Di Linh,25000,Huyện Di Linh
Xã Đinh Trang Thượng,25003,Huyện Di Linh
Xã Tân Thượng,25006,Huyện Di Linh
Xã Tân Lâm,25007,Huyện Di Linh
Xã Tân Châu,25009,Huyện Di Linh
Xã Tân Nghĩa,25012,Huyện Di Linh
Xã Gia Hiệp,25015,Huyện Di Linh
Xã Đinh Lạc,25018,Huyện Di Linh
Xã Tam Bố,25021,Huyện Di Linh
Xã Đinh Trang Hòa,25024,Huyện Di Linh
Xã Liên Đầm,25027,Huyện Di Linh
Xã Gung Ré,25030,Huyện Di Linh
Xã Bảo Thuận,25033,Huyện Di Linh
Xã Hòa Ninh,25036,Huyện Di Linh
Xã Hòa Trung,25039,Huyện Di Linh
Xã Hòa Nam,25042,Huyện Di Linh
Xã Hòa Bắc,25045,Huyện Di Linh
Xã Sơn Điền,25048,Huyện Di Linh
Xã Gia Bắc,25051,Huyện Di Linh
Thị trấn Lộc Thắng,25054,Huyện Bảo Lâm
Xã Lộc Bảo,25057,Huyện Bảo Lâm
Xã Lộc Lâm,25060,Huyện Bảo Lâm
Xã Lộc Phú,25063,Huyện Bảo Lâm
Xã Lộc Bắc,25066,Huyện Bảo Lâm
Xã B' Lá,25069,Huyện Bảo Lâm
Xã Lộc Ngãi,25072,Huyện Bảo Lâm
Xã Lộc Quảng,25075,Huyện Bảo Lâm
Xã Lộc Tân,25078,Huyện Bảo Lâm
Xã Lộc Đức,25081,Huyện Bảo Lâm
Xã Lộc An,25084,Huyện Bảo Lâm
Xã Tân Lạc,25087,Huyện Bảo Lâm
Xã Lộc Thành,25090,Huyện Bảo Lâm
Xã Lộc Nam,25093,Huyện Bảo Lâm
Thị trấn Đạ M'ri,25096,Huyện Đạ Huoai
Thị trấn Ma Đa Guôi,24099,Huyện Đạ Huoai
Xã Đạ M'ri,25102,Huyện Đạ Huoai
Xã Hà Lâm,25105,Huyện Đạ Huoai
Xã Đạ Oai,25111,Huyện Đạ Huoai
Xã Bà Gia,25114,Huyện Đạ Huoai
Xã Ma Đa Guôi,25117,Huyện Đạ Huoai
Thị trấn Đạ Tẻh,25126,Huyện Đạ Tẻh
Xã An Nhơn,25129,Huyện Đạ Tẻh
Xã Quốc Oai,25132,Huyện Đạ Tẻh
Xã Mỹ Đức,25135,Huyện Đạ Tẻh
Xã Quảng Trị,25138,Huyện Đạ Tẻh
Xã Đạ Lây,25141,Huyện Đạ Tẻh
Xã Đạ Kho,25153,Huyện Đạ Tẻh
Xã Đạ Pal,25156,Huyện Đạ Tẻh
Thị trấn Cát Tiên,25159,Huyện Cát Tiên
Xã Tiên Hoàng,25162,Huyện Cát Tiên
Xã Phước Cát 2,25165,Huyện Cát Tiên
Xã Gia Viễn,25168,Huyện Cát Tiên
Xã Nam Ninh,25171,Huyện Cát Tiên
Xã Mỹ Lâm,25174,Huyện Cát Tiên
Xã Tư Nghĩa,25177,Huyện Cát Tiên
Thị trấn Phước Cát,25180,Huyện Cát Tiên
Xã Đức Phổ,25183,Huyện Cát Tiên
Xã Phù Mỹ,25186,Huyện Cát Tiên
Xã Quảng Ngãi,25189,Huyện Cát Tiên
Xã Đồng Nai Thượng,25192,Huyện Cát Tiên
